#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 11 15 19 00 190  2.1  3.1    MM    MM    MM  MM 1027.9  12.6  13.7    MM   MM -2.3    MM
2023 11 15 18 54 160  1.5  2.6    MM    MM    MM  MM 1028.0  12.7  13.5    MM   MM   MM    MM
2023 11 15 18 48 160  1.5  2.6    MM    MM    MM  MM 1028.1  12.6  13.4    MM   MM   MM    MM
2023 11 15 18 42 160  2.1  2.6    MM    MM    MM  MM 1028.2  12.5  13.4    MM   MM   MM    MM
2023 11 15 18 36 160  1.5  2.1    MM    MM    MM  MM 1028.3  12.5  13.4    MM   MM   MM    MM
2023 11 15 18 30 150  1.5  2.6    MM    MM    MM  MM 1028.3  12.6  13.3    MM   MM   MM    MM
2023 11 15 18 24 160  2.1  3.1    MM    MM    MM  MM 1028.4  12.7  13.3    MM   MM   MM    MM
2023 11 15 18 18 150  1.5  2.1    MM    MM    MM  MM 1028.5  13.0  13.4    MM   MM   MM    MM
2023 11 15 18 12 130  1.5  2.1    MM    MM    MM  MM 1028.6  12.7  13.4    MM   MM   MM    MM
2023 11 15 18 06 150  1.5  2.1    MM    MM    MM  MM 1028.8  12.8  13.5    MM   MM   MM    MM
2023 11 15 18 00 180  1.0  1.5    MM    MM    MM  MM 1028.8  12.7  13.5    MM   MM -1.6    MM
2023 11 15 17 54 170  1.0  2.1    MM    MM    MM  MM 1028.9  12.6  13.5    MM   MM   MM    MM
2023 11 15 17 48 180  1.5  2.6    MM    MM    MM  MM 1028.9  12.8  13.4    MM   MM   MM    MM
2023 11 15 17 42 160  2.1  2.6    MM    MM    MM  MM 1028.9  12.5  13.4    MM   MM   MM    MM
2023 11 15 17 36 160  1.5  2.6    MM    MM    MM  MM 1028.9  12.8  13.4    MM   MM   MM    MM
2023 11 15 17 30 160  1.5  2.1    MM    MM    MM  MM 1028.9  12.4  13.4    MM   MM   MM    MM
2023 11 15 17 24 140  1.5  2.6    MM    MM    MM  MM 1029.0  12.7  13.3    MM   MM   MM    MM
2023 11 15 17 18 150  2.1  2.6    MM    MM    MM  MM 1029.1  12.4  13.3    MM   MM   MM    MM
2023 11 15 17 12 150  2.1  2.6    MM    MM    MM  MM 1029.1  12.6  13.3    MM   MM   MM    MM
2023 11 15 17 06 120  1.5  2.6    MM    MM    MM  MM 1029.2  12.8  13.3    MM   MM   MM    MM
2023 11 15 17 00 120  1.5  2.6    MM    MM    MM  MM 1029.2  12.7  13.3    MM   MM -1.2    MM
2023 11 15 16 54 130  1.5  2.6    MM    MM    MM  MM 1029.3  12.7  13.3    MM   MM   MM    MM
2023 11 15 16 48 130  1.5  2.6    MM    MM    MM  MM 1029.3  13.0  13.3    MM   MM   MM    MM
2023 11 15 16 42 120  1.0  2.1    MM    MM    MM  MM 1029.4  13.1  13.3    MM   MM   MM    MM
2023 11 15 16 36 150  1.0  1.5    MM    MM    MM  MM 1029.6  12.8  13.3    MM   MM   MM    MM
2023 11 15 16 30 120  1.0  1.5    MM    MM    MM  MM 1029.8  12.9  13.3    MM   MM   MM    MM
2023 11 15 16 24  80  1.0  2.1    MM    MM    MM  MM 1029.8  12.4  13.3    MM   MM   MM    MM
2023 11 15 16 18 360  1.0  1.5    MM    MM    MM  MM 1030.0  11.8  13.3    MM   MM   MM    MM
2023 11 15 16 12  20  1.5  2.1    MM    MM    MM  MM 1030.1  11.5  13.2    MM   MM   MM    MM
2023 11 15 16 06  20  1.5  1.5    MM    MM    MM  MM 1030.1  11.5  13.2    MM   MM   MM    MM
2023 11 15 16 00  20  1.5  2.1    MM    MM    MM  MM 1030.2  11.4  13.2    MM   MM +0.4    MM
2023 11 15 15 54  10  1.5  2.1    MM    MM    MM  MM 1030.2  11.3  13.2    MM   MM   MM    MM
2023 11 15 15 48  10  2.1  2.1    MM    MM    MM  MM 1030.2  11.2  13.1    MM   MM   MM    MM
2023 11 15 15 42  10  1.5  2.1    MM    MM    MM  MM 1030.2  11.2  13.1    MM   MM   MM    MM
2023 11 15 15 36  20  2.1  2.6    MM    MM    MM  MM 1030.2  10.9  13.1    MM   MM   MM    MM
2023 11 15 15 30  10  1.5  2.6    MM    MM    MM  MM 1030.4  11.1  13.1    MM   MM   MM    MM
2023 11 15 15 24  10  2.1  2.6    MM    MM    MM  MM 1030.3  10.8  13.1    MM   MM   MM    MM
2023 11 15 15 18  20  2.1  2.6    MM    MM    MM  MM     MM  10.8  13.1    MM   MM   MM    MM
2023 11 15 15 12  20  2.1  2.6    MM    MM    MM  MM     MM  10.7  13.1    MM   MM   MM    MM
2023 11 15 15 06  20  2.1  2.6    MM    MM    MM  MM     MM  10.7  13.1    MM   MM   MM    MM
2023 11 15 15 00  20  2.1  2.6    MM    MM    MM  MM 1030.4  10.7  13.1    MM   MM +1.3    MM
